Date,Open,High,Low,Close,Volume
1/2/1970,1.710938,1.722656,1.708984,1.71875,832000
1/5/1970,1.71875,1.730469,1.708984,1.726563,518400
1/6/1970,1.722656,1.722656,1.707031,1.71875,480000
1/7/1970,1.722656,1.75,1.722656,1.746094,710400
1/8/1970,1.746094,1.773438,1.742188,1.765625,531200
1/9/1970,1.765625,1.765625,1.753906,1.761719,262400
1/12/1970,1.761719,1.761719,1.75,1.75,371200
1/13/1970,1.75,1.753906,1.742188,1.742188,409600
1/14/1970,1.75,1.792969,1.75,1.75,595200
1/15/1970,1.75,1.757813,1.746094,1.75,390400
1/16/1970,1.761719,1.796875,1.761719,1.769531,409600
1/19/1970,1.765625,1.765625,1.75,1.753906,512000
1/20/1970,1.757813,1.767578,1.757813,1.759766,268800
1/21/1970,1.759766,1.773438,1.75,1.771484,678400
1/22/1970,1.771484,1.816406,1.751953,1.8125,902400
1/23/1970,1.804688,1.804688,1.757813,1.757813,2892800
1/26/1970,1.757813,1.761719,1.734375,1.734375,531200
1/27/1970,1.738281,1.75,1.738281,1.738281,147200
1/28/1970,1.738281,1.748047,1.726563,1.726563,825600
1/29/1970,1.726563,1.726563,1.714844,1.722656,416000
1/30/1970,1.728516,1.748047,1.728516,1.734375,435200
2/2/1970,1.734375,1.738281,1.71875,1.71875,2451200
2/3/1970,1.722656,1.763672,1.722656,1.75,1235200
2/4/1970,1.75,1.765625,1.75,1.753906,384000
2/5/1970,1.753906,1.763672,1.746094,1.757813,454400
2/6/1970,1.757813,1.789063,1.753906,1.78125,531200
2/9/1970,1.78125,1.804688,1.771484,1.796875,640000
2/10/1970,1.796875,1.796875,1.789063,1.792969,288000
2/11/1970,1.792969,1.796875,1.78125,1.796875,659200
2/12/1970,1.800781,1.816406,1.800781,1.8125,793600
2/13/1970,1.808594,1.808594,1.78125,1.789063,1548800
2/16/1970,1.789063,1.824219,1.789063,1.791016,435200
2/17/1970,1.789063,1.789063,1.710938,1.726563,1542400
2/18/1970,1.724609,1.724609,1.681641,1.6875,1299200
2/19/1970,1.6875,1.695313,1.671875,1.695313,2060800
2/20/1970,1.695313,1.705078,1.691406,1.691406,844800
2/24/1970,1.691406,1.699219,1.679688,1.699219,985600
2/25/1970,1.699219,1.707031,1.675781,1.6875,2892800
2/26/1970,1.65625,1.65625,1.648438,1.650391,1747200
2/27/1970,1.65625,1.71875,1.65625,1.707031,1171200
3/2/1970,1.707031,1.738281,1.707031,1.714844,1542400
3/3/1970,1.714844,1.726563,1.703125,1.726563,876800
3/4/1970,1.726563,1.732422,1.71875,1.722656,1075200
3/5/1970,1.722656,1.726563,1.710938,1.710938,1523200
3/6/1970,1.703125,1.703125,1.6875,1.703125,384000
3/9/1970,1.703125,1.712891,1.703125,1.705078,275200
3/10/1970,1.705078,1.716797,1.705078,1.716797,428800
3/11/1970,1.716797,1.71875,1.712891,1.716797,806400
3/12/1970,1.716797,1.71875,1.714844,1.71875,1011200
3/13/1970,1.71875,1.726563,1.703125,1.703125,1644800
3/16/1970,1.699219,1.699219,1.648438,1.65625,2316800
3/17/1970,1.65625,1.683594,1.652344,1.658203,1139200
3/18/1970,1.664063,1.691406,1.664063,1.679688,518400
3/19/1970,1.679688,1.691406,1.65625,1.660156,262400
3/20/1970,1.660156,1.679688,1.658203,1.679688,339200
3/23/1970,1.675781,1.675781,1.660156,1.660156,192000
3/24/1970,1.666016,1.675781,1.666016,1.675781,198400
3/25/1970,1.675781,1.761719,1.675781,1.703125,1760000
3/26/1970,1.703125,1.714844,1.695313,1.703125,422400
3/30/1970,1.6875,1.6875,1.660156,1.683594,531200
3/31/1970,1.683594,1.703125,1.681641,1.703125,243200
4/1/1970,1.71875,1.734375,1.71875,1.726563,806400
4/2/1970,1.726563,1.730469,1.71875,1.71875,467200
4/3/1970,1.71875,1.724609,1.71875,1.71875,166400
4/6/1970,1.71875,1.734375,1.710938,1.712891,256000
4/7/1970,1.712891,1.722656,1.710938,1.716797,627200
4/8/1970,1.714844,1.714844,1.707031,1.708984,102400
4/9/1970,1.708984,1.714844,1.699219,1.703125,371200
4/10/1970,1.703125,1.703125,1.691406,1.691406,307200
4/13/1970,1.691406,1.691406,1.671875,1.671875,467200
4/14/1970,1.671875,1.673828,1.644531,1.671875,537600
4/15/1970,1.671875,1.679688,1.648438,1.660156,793600
4/16/1970,1.65625,1.65625,1.634766,1.634766,544000
4/17/1970,1.634766,1.675781,1.626953,1.675781,620800
4/20/1970,1.675781,1.6875,1.664063,1.664063,339200
4/21/1970,1.664063,1.669922,1.642578,1.642578,390400
4/22/1970,1.642578,1.648438,1.625,1.625,697600
4/23/1970,1.613281,1.613281,1.587891,1.59375,435200
